20241031 14:17:08 - MainProcess | MainThread | mq_consumer.async_consume_messages:68 - INFO -connecting rabbitmq:amqp://dyb:123456@119.3.180.172:11180/
20241031 14:20:07 - MainProcess | MainThread | mq_consumer.process_message:76 - INFO -Rabbitmq async Received: {"requestId": "9416b063-f4ad-42c6-a864-179169011190", "taskId": "c077bf27-a26a-4d19-a174-bf76e0b8059e", "eventId": "ec701e3e-4d3c-4a81-a280-6301896188ec", "taskName": "三山街", "taskEventType": ["10110"], "eventType": "10110", "eventDesc": "图片中有一个绿色垃圾桶，里面暴露了垃圾，包括一个白色的塑料盖和一个灰色的机器零件。这种乱扔垃圾的行为可能会导致环境污染、健康问题和景观破坏。", "eventTime": "2024-10-31 14:20:03", "imgUrl": "http://119.3.180.172:11132/detections/20241031/10110/10110_43a2bc03-d494-4715-814d-6b85cc49c1fe.jpg", "deviceId": "3", "channelId": "3", "dbLabel": ["72_alarm"]}
20241031 14:20:58 - MainProcess | MainThread | mq_consumer.process_message:76 - INFO -Rabbitmq async Received: {"requestId": "9416b063-f4ad-42c6-a864-179169011190", "taskId": "c077bf27-a26a-4d19-a174-bf76e0b8059e", "eventId": "8a205bcd-cab8-4187-9626-3937a5ebeb89", "taskName": "三山街", "taskEventType": ["10110"], "eventType": "10110", "eventDesc": "在图片中，可以看到一些暴露的垃圾，包括一个白色的塑料袋，里面装着垃圾。这种垃圾可能对环境和野生动物产生严重影响，例如污染土壤和水源，危害生物健康。因此，妥善处理垃圾和推广可持续生活方式以降低这些影响是非常重要的。", "eventTime": "2024-10-31 14:20:53", "imgUrl": "http://119.3.180.172:11132/detections/20241031/10110/10110_f94dcb53-b5a3-403e-ae12-ad5f9d91b4dc.jpg", "deviceId": "3", "channelId": "3", "dbLabel": ["72_alarm"]}
20241031 14:21:13 - MainProcess | MainThread | mq_consumer.process_message:76 - INFO -Rabbitmq async Received: {"requestId": "7acbf7ae-bd5f-411f-97bd-d447fa3d18f3", "taskId": "6bc15c7a-51de-408e-9ac9-a7d20a38f636", "eventId": "b1001766-28eb-4d8c-92e3-58b0ae4f7313", "taskName": "三山街", "taskEventType": ["10174"], "eventType": "10174", "eventDesc": "图片中展示了一位商人在路边占道经营，从事牙科治疗活动，可能会影响行人的通行和安全。", "eventTime": "2024-10-31 14:21:10", "imgUrl": "http://119.3.180.172:11132/detections/20241031/10174/10174_36261dd2-3f7a-40eb-9011-60401cc28730.jpg", "deviceId": "3", "channelId": "3", "dbLabel": ["70_alarm"]}
20241031 14:25:14 - MainProcess | MainThread | mq_consumer.async_consume_messages:60 - INFO -connecting rabbitmq:amqp://admin:123456@101.43.52.53:8072/%2Fzhizi
20241031 14:28:23 - MainProcess | MainThread | mq_consumer.async_consume_messages:60 - INFO -connecting rabbitmq:amqp://admin:123456@101.43.52.53:8072/%2Fzhizi
20241031 14:28:23 - MainProcess | MainThread | mq_consumer.process_message:68 - INFO -Rabbitmq async Received: {"requestId": "9f78c1ef-8d0e-40ce-8df4-338446d5457d", "taskId": "task123", "eventId": "1730356026418", "eventType": "\u5783\u573e\u6ee1\u6ea2", "eventDesc": "\u5783\u573e\u6876\u5df2\u6ee1", "eventTime": "2024-10-31 14:27:06", "imgUrl": "https://tse1-mm.cn.bing.net/th/id/OIP-C.Vf0PjZtryNgbCMLEPTW0dgHaEK?rs=1&pid=ImgDetMain", "deviceId": "32010208091000000001", "channelId": "32010208091000000001"}
20241031 14:28:23 - MainProcess | MainThread | mq_consumer.process_message:68 - INFO -Rabbitmq async Received: {"requestId": "890d4798-1fcb-45da-9062-56cb52e6c82f", "taskId": "task123", "eventId": "1730356028422", "eventType": "\u5783\u573e\u6ee1\u6ea2", "eventDesc": "\u5783\u573e\u6876\u5df2\u6ee1", "eventTime": "2024-10-31 14:27:08", "imgUrl": "https://tse1-mm.cn.bing.net/th/id/OIP-C.Vf0PjZtryNgbCMLEPTW0dgHaEK?rs=1&pid=ImgDetMain", "deviceId": "32010208091000000001", "channelId": "32010208091000000001"}
20241031 14:28:23 - MainProcess | MainThread | mq_consumer.process_message:68 - INFO -Rabbitmq async Received: {"requestId": "be45adb6-c56f-4e89-80d3-fa4bd9f0cbcf", "taskId": "task123", "eventId": "1730356030431", "eventType": "\u5783\u573e\u6ee1\u6ea2", "eventDesc": "\u5783\u573e\u6876\u5df2\u6ee1", "eventTime": "2024-10-31 14:27:10", "imgUrl": "https://tse1-mm.cn.bing.net/th/id/OIP-C.Vf0PjZtryNgbCMLEPTW0dgHaEK?rs=1&pid=ImgDetMain", "deviceId": "32010208091000000001", "channelId": "32010208091000000001"}
20241031 14:28:23 - MainProcess | MainThread | mq_consumer.process_message:68 - INFO -Rabbitmq async Received: {"requestId": "f51a50b1-b414-4abd-b6e5-eb89550a508c", "taskId": "task123", "eventId": "1730356032438", "eventType": "\u5783\u573e\u6ee1\u6ea2", "eventDesc": "\u5783\u573e\u6876\u5df2\u6ee1", "eventTime": "2024-10-31 14:27:12", "imgUrl": "https://tse1-mm.cn.bing.net/th/id/OIP-C.Vf0PjZtryNgbCMLEPTW0dgHaEK?rs=1&pid=ImgDetMain", "deviceId": "32010208091000000001", "channelId": "32010208091000000001"}
20241031 14:28:23 - MainProcess | MainThread | mq_consumer.process_message:68 - INFO -Rabbitmq async Received: {"requestId": "75b9ea70-d8c2-410a-b530-5f7c3561b184", "taskId": "task123", "eventId": "1730356034438", "eventType": "\u5783\u573e\u6ee1\u6ea2", "eventDesc": "\u5783\u573e\u6876\u5df2\u6ee1", "eventTime": "2024-10-31 14:27:14", "imgUrl": "https://tse1-mm.cn.bing.net/th/id/OIP-C.Vf0PjZtryNgbCMLEPTW0dgHaEK?rs=1&pid=ImgDetMain", "deviceId": "32010208091000000001", "channelId": "32010208091000000001"}
20241031 14:28:23 - MainProcess | MainThread | mq_consumer.process_message:68 - INFO -Rabbitmq async Received: {"requestId": "b5da1e19-9c12-445f-9a7e-f529790a3c3d", "taskId": "task123", "eventId": "1730356036440", "eventType": "\u5783\u573e\u6ee1\u6ea2", "eventDesc": "\u5783\u573e\u6876\u5df2\u6ee1", "eventTime": "2024-10-31 14:27:16", "imgUrl": "https://tse1-mm.cn.bing.net/th/id/OIP-C.Vf0PjZtryNgbCMLEPTW0dgHaEK?rs=1&pid=ImgDetMain", "deviceId": "32010208091000000001", "channelId": "32010208091000000001"}
20241031 14:28:23 - MainProcess | MainThread | mq_consumer.process_message:68 - INFO -Rabbitmq async Received: {"requestId": "10a6b738-bf8a-4694-abe8-e44ab0290011", "taskId": "task123", "eventId": "1730356038441", "eventType": "\u5783\u573e\u6ee1\u6ea2", "eventDesc": "\u5783\u573e\u6876\u5df2\u6ee1", "eventTime": "2024-10-31 14:27:18", "imgUrl": "https://tse1-mm.cn.bing.net/th/id/OIP-C.Vf0PjZtryNgbCMLEPTW0dgHaEK?rs=1&pid=ImgDetMain", "deviceId": "32010208091000000001", "channelId": "32010208091000000001"}
20241031 14:28:23 - MainProcess | MainThread | mq_consumer.process_message:68 - INFO -Rabbitmq async Received: {"requestId": "f6b471b7-f40c-4d83-a2b5-96a133c37472", "taskId": "task123", "eventId": "1730356040447", "eventType": "\u5783\u573e\u6ee1\u6ea2", "eventDesc": "\u5783\u573e\u6876\u5df2\u6ee1", "eventTime": "2024-10-31 14:27:20", "imgUrl": "https://tse1-mm.cn.bing.net/th/id/OIP-C.Vf0PjZtryNgbCMLEPTW0dgHaEK?rs=1&pid=ImgDetMain", "deviceId": "32010208091000000001", "channelId": "32010208091000000001"}
20241031 14:28:23 - MainProcess | MainThread | mq_consumer.process_message:68 - INFO -Rabbitmq async Received: {"requestId": "10aec297-500c-4d54-9111-2925fc14d202", "taskId": "task123", "eventId": "1730356042453", "eventType": "\u5783\u573e\u6ee1\u6ea2", "eventDesc": "\u5783\u573e\u6876\u5df2\u6ee1", "eventTime": "2024-10-31 14:27:22", "imgUrl": "https://tse1-mm.cn.bing.net/th/id/OIP-C.Vf0PjZtryNgbCMLEPTW0dgHaEK?rs=1&pid=ImgDetMain", "deviceId": "32010208091000000001", "channelId": "32010208091000000001"}
20241031 14:28:23 - MainProcess | MainThread | mq_consumer.process_message:68 - INFO -Rabbitmq async Received: {"requestId": "fab7df32-a017-40ce-9e9f-c9ce53c2dce0", "taskId": "task123", "eventId": "1730356044455", "eventType": "\u5783\u573e\u6ee1\u6ea2", "eventDesc": "\u5783\u573e\u6876\u5df2\u6ee1", "eventTime": "2024-10-31 14:27:24", "imgUrl": "https://tse1-mm.cn.bing.net/th/id/OIP-C.Vf0PjZtryNgbCMLEPTW0dgHaEK?rs=1&pid=ImgDetMain", "deviceId": "32010208091000000001", "channelId": "32010208091000000001"}
20241031 14:28:23 - MainProcess | MainThread | mq_consumer.process_message:68 - INFO -Rabbitmq async Received: {"requestId": "65474baf-d651-4bd7-8322-22088335f573", "taskId": "task123", "eventId": "1730356046461", "eventType": "\u5783\u573e\u6ee1\u6ea2", "eventDesc": "\u5783\u573e\u6876\u5df2\u6ee1", "eventTime": "2024-10-31 14:27:26", "imgUrl": "https://tse1-mm.cn.bing.net/th/id/OIP-C.Vf0PjZtryNgbCMLEPTW0dgHaEK?rs=1&pid=ImgDetMain", "deviceId": "32010208091000000001", "channelId": "32010208091000000001"}
20241031 14:28:23 - MainProcess | MainThread | mq_consumer.process_message:68 - INFO -Rabbitmq async Received: {"requestId": "5f4be3b9-324a-47c0-a2d6-fa22ca7ff4ca", "taskId": "task123", "eventId": "1730356048468", "eventType": "\u5783\u573e\u6ee1\u6ea2", "eventDesc": "\u5783\u573e\u6876\u5df2\u6ee1", "eventTime": "2024-10-31 14:27:28", "imgUrl": "https://tse1-mm.cn.bing.net/th/id/OIP-C.Vf0PjZtryNgbCMLEPTW0dgHaEK?rs=1&pid=ImgDetMain", "deviceId": "32010208091000000001", "channelId": "32010208091000000001"}
20241031 14:28:54 - MainProcess | MainThread | mq_consumer.process_message:68 - INFO -Rabbitmq async Received: {"requestId": "5539a1e0-f1df-4788-a893-cd3a58d550ac", "taskId": "task123", "eventId": "1730356050474", "eventType": "\u5783\u573e\u6ee1\u6ea2", "eventDesc": "\u5783\u573e\u6876\u5df2\u6ee1", "eventTime": "2024-10-31 14:27:30", "imgUrl": "https://tse1-mm.cn.bing.net/th/id/OIP-C.Vf0PjZtryNgbCMLEPTW0dgHaEK?rs=1&pid=ImgDetMain", "deviceId": "32010208091000000001", "channelId": "32010208091000000001"}
20241031 14:43:19 - MainProcess | MainThread | mq_consumer.async_consume_messages:60 - INFO -connecting rabbitmq:amqp://admin:123456@101.43.52.53:8072/%2Fzhizi
20241031 14:43:46 - MainProcess | MainThread | mq_consumer.process_message:69 - INFO -Rabbitmq async Received: {'requestId': 'f0e1fbc6-dcfc-490d-a8c6-c7419ac9891e', 'taskId': 'task123', 'eventId': '1730356135901', 'eventType': '垃圾满溢', 'eventDesc': '垃圾桶已满', 'eventTime': '2024-10-31 14:28:55', 'imgUrl': 'https://tse1-mm.cn.bing.net/th/id/OIP-C.Vf0PjZtryNgbCMLEPTW0dgHaEK?rs=1&pid=ImgDetMain', 'deviceId': '32010208091000000001', 'channelId': '32010208091000000001'}
